guid,orig_answer,perturbed_answer,gpt_answer,perturbed_answer_3,gpt_answer_3
d5bd3fb80dba11ecb1e81171463288e9,red,white,white,whi,whi
d5bd3fb80dba11ecb1e81171463288e9,red,black,black,bla,bla
d5bd58860dba11ecb1e81171463288e9,yellow,red,red,red,red
d5bd65a60dba11ecb1e81171463288e9,gold,gray,gray,gra,gra
d5bd8a040dba11ecb1e81171463288e9,pink,white,white,whi,whi
d5bd8a040dba11ecb1e81171463288e9,pink,white,white,whi,whi
d5bdb9480dba11ecb1e81171463288e9,star,circle,circle,cir,cir
d5bdb9480dba11ecb1e81171463288e9,star,square,square,squ,squ
d5bdca000dba11ecb1e81171463288e9,white,red,red,red,red
d5bdd7840dba11ecb1e81171463288e9,orange,yellow,yellow,yel,yel
d5bdd7840dba11ecb1e81171463288e9,orange,red,red,red,red
d5bdf93a0dba11ecb1e81171463288e9,gray,purple,purple,pur,pur
d5be02fe0dba11ecb1e81171463288e9,orange,yellow,yellow orange,yel,yel
d5be1ece0dba11ecb1e81171463288e9,black,white,white,whi,whi
d5be2d380dba11ecb1e81171463288e9,white,brown,brown,bro,bro
d5be31de0dba11ecb1e81171463288e9,gold,blue,blue,blu,blu
d5be31de0dba11ecb1e81171463288e9,gold,yellow,yellow,yel,yel
d5be54a20dba11ecb1e81171463288e9,black,purple,purple,pur,pur
d5be59c00dba11ecb1e81171463288e9,rectangular,square,square,squ,squ
d5be5a9c0dba11ecb1e81171463288e9,black,blue,blue,blu,blu
d5be76e40dba11ecb1e81171463288e9,yellow,blue,blue,blu,blu
d5be7ffe0dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5be9cc80dba11ecb1e81171463288e9,brown,black,black,bla,bla
d5be9cc80dba11ecb1e81171463288e9,brown,blue,blue,blu,blu
d5beb1180dba11ecb1e81171463288e9,curve,cone,cone,con,con
d5becbbc0dba11ecb1e81171463288e9,yellow,white,white,whi,whi
d5bef1460dba11ecb1e81171463288e9,white,red,red,red,red
d5bf0bd60dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5bf1e6e0dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5bf25da0dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5bf2d320dba11ecb1e81171463288e9,yellow,orange,orange,ora,ora
d5bf6be40dba11ecb1e81171463288e9,black,red,red,red,red
d5bf6f860dba11ecb1e81171463288e9,white,black,black and white,bla,bla
d5bf83180dba11ecb1e81171463288e9,silver,red,red,red,red
d5bf83180dba11ecb1e81171463288e9,silver,red,red,red,red
d5bf87820dba11ecb1e81171463288e9,yellow,purple,purple,pur,pur
d5bf88180dba11ecb1e81171463288e9,yellow,white,white,whi,whi
d5bfa8b60dba11ecb1e81171463288e9,silver,purple,purple,pur,pur
d5bfa8b60dba11ecb1e81171463288e9,silver,gold,gold,gol,gol
d5bfcc240dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5bfd7b40dba11ecb1e81171463288e9,white,teal,teal,tea,tea
d5bff4420dba11ecb1e81171463288e9,blue,yellow,yellow,yel,yel
d5bff4420dba11ecb1e81171463288e9,blue,red,red,red,red
d5bff8b60dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5c0007c0dba11ecb1e81171463288e9,green,black,black,bla,bla
d5c0019e0dba11ecb1e81171463288e9,black,purple,purple,pur,pur
d5c00ae00dba11ecb1e81171463288e9,grey,golden,gold,gol,gol
d5c02f160dba11ecb1e81171463288e9,yellow,red,red,red,red
d5c04c800dba11ecb1e81171463288e9,gray,blue,blue,blu,blu
d5c072820dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c07d220dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c080e20dba11ecb1e81171463288e9,teardrop,triangle,triangle,tri,tri
d5c08a240dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c09af00dba11ecb1e81171463288e9,orange,gold,gold,gol,gol
d5c09af00dba11ecb1e81171463288e9,orange,blue,blue,blu,blu
d5c0b7f60dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c0bbb60dba11ecb1e81171463288e9,white,red,red,red,red
d5c0bc100dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c0c0de0dba11ecb1e81171463288e9,white,red,red,red,red
d5c0d38a0dba11ecb1e81171463288e9,green,red,red,red,red
d5c0d38a0dba11ecb1e81171463288e9,green,blue,blue,blu,blu
d5c0e08c0dba11ecb1e81171463288e9,rectangular,square,square,squ,squ
d5c0f0b80dba11ecb1e81171463288e9,gold,golden,gold,gol,gol
d5c0fc5c0dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c0fc5c0dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c0ffb80dba11ecb1e81171463288e9,flower,circle,circular,cir,cir
d5c0ffb80dba11ecb1e81171463288e9,flower,circle,circular,cir,cir
d5c1128c0dba11ecb1e81171463288e9,brown,white,white,whi,whi
d5c1128c0dba11ecb1e81171463288e9,brown,blue,blue,blu,blu
d5c1128c0dba11ecb1e81171463288e9,brown,pink,pink,pin,pin
d5c11a480dba11ecb1e81171463288e9,gold,purple,purple,pur,pur
d5c1279a0dba11ecb1e81171463288e9,green,brown,brown,bro,bro
d5c129020dba11ecb1e81171463288e9,pink,purple,purple,pur,pur
d5c129980dba11ecb1e81171463288e9,gold,pink,pink,pin,pin
d5c129980dba11ecb1e81171463288e9,gold,teal,teal,tea,tea
d5c1341a0dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5c1341a0dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c1411c0dba11ecb1e81171463288e9,red,golden,gold,gol,gol
d5c143ce0dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c143ce0dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c144dc0dba11ecb1e81171463288e9,red,brown,brown,bro,bro
d5c144dc0dba11ecb1e81171463288e9,red,white,white,whi,whi
d5c1450e0dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c14d1a0dba11ecb1e81171463288e9,teal,gold,gold,gol,gol
d5c156c00dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c15fc60dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c16be20dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c16df40dba11ecb1e81171463288e9,gray,yellow,yellow,yel,yel
d5c16df40dba11ecb1e81171463288e9,gray,pink,pink,pin,pin
d5c16df40dba11ecb1e81171463288e9,gray,white,white,whi,whi
d5c16df40dba11ecb1e81171463288e9,gray,blue,blue,blu,blu
d5c17fd80dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5c184600dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c184600dba11ecb1e81171463288e9,red,brown,brown,bro,bro
d5c184600dba11ecb1e81171463288e9,red,blue,blue,blu,blu
d5c192480dba11ecb1e81171463288e9,yellow,white,white,whi,whi
d5c1990a0dba11ecb1e81171463288e9,round,circle,circular,cir,cir
d5c1a0580dba11ecb1e81171463288e9,gold,orange,orange,ora,ora
d5c1a7060dba11ecb1e81171463288e9,red,blue,blue,blu,blu
d5c1b8cc0dba11ecb1e81171463288e9,gold,purple,purple,pur,pur
d5c1b8cc0dba11ecb1e81171463288e9,gold,white,white,whi,whi
d5c1ba3e0dba11ecb1e81171463288e9,black,pink,pink,pin,pin
d5c1ba3e0dba11ecb1e81171463288e9,black,pink,pink,pin,pin
d5c1c1dc0dba11ecb1e81171463288e9,spiral,hexagon,hexagonal,hex,hex
d5c1c5560dba11ecb1e81171463288e9,black,gold,gold,gol,gol
d5c1c6280dba11ecb1e81171463288e9,tan,gray,gray,gra,gra
d5c1c6280dba11ecb1e81171463288e9,tan,white,white,whi,whi
d5c1cdc60dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c1d8480dba11ecb1e81171463288e9,white,black,black,bla,bla
d5c1d8480dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5c1eaa40dba11ecb1e81171463288e9,black,purple,purple,pur,pur
d5c1eaa40dba11ecb1e81171463288e9,black,blue,blue,blu,blu
d5c1eaa40dba11ecb1e81171463288e9,black,red,red,red,red
d5c1efea0dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c1efea0dba11ecb1e81171463288e9,white,gray,gray,gra,gra
d5c1f01c0dba11ecb1e81171463288e9,circle,cross,cross,cro,cro
d5c203d60dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c2094e0dba11ecb1e81171463288e9,black,yellow,yellow,yel,yel
d5c2094e0dba11ecb1e81171463288e9,black,pink,pink,pin,pin
d5c22c620dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c22d160dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c22d160dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c234000dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c234000dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5c234000dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c23fe00dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5c2445e0dba11ecb1e81171463288e9,grey,pink,pink,pin,pin
d5c2445e0dba11ecb1e81171463288e9,grey,yellow,yellow,yel,yel
d5c282de0dba11ecb1e81171463288e9,flower,star,star,sta,sta
d5c28f400dba11ecb1e81171463288e9,silver,gold,gold,gol,gol
d5c28f400dba11ecb1e81171463288e9,silver,orange,orange,ora,ora
d5c2a4d00dba11ecb1e81171463288e9,red,blue,blue,blu,blu
d5c2a6c40dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c2bf6a0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c2bf6a0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c2cc580dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c2cc580dba11ecb1e81171463288e9,green,blue,blue,blu,blu
d5c2cc800dba11ecb1e81171463288e9,yellow,blue,blue,blu,blu
d5c2d4460dba11ecb1e81171463288e9,orange,red,red,red,red
d5c2dac20dba11ecb1e81171463288e9,red,white,white,whi,whi
d5c2dac20dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c2e2880dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c2e9a40dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c2e9a40dba11ecb1e81171463288e9,white,golden,gold,gol,gol
d5c2e9cc0dba11ecb1e81171463288e9,green,blue,blue,blu,blu
d5c2eb340dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c2edc80dba11ecb1e81171463288e9,red,yellow,yellow usa,yel,yel
d5c2f5340dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5c305060dba11ecb1e81171463288e9,white,gold,gold,gol,gol
d5c305060dba11ecb1e81171463288e9,white,violet,violet,vio,vio
d5c30b8c0dba11ecb1e81171463288e9,gold,orange,orange,ora,ora
d5c30cc20dba11ecb1e81171463288e9,purple,pink,pink,pin,pin
d5c30cc20dba11ecb1e81171463288e9,purple,yellow,yellow,yel,yel
d5c31de80dba11ecb1e81171463288e9,green,purple,purple,pur,pur
d5c322e80dba11ecb1e81171463288e9,gold,golden,gold,gol,gol
d5c327480dba11ecb1e81171463288e9,torus,triangle,triangle,tri,tri
d5c327480dba11ecb1e81171463288e9,torus,triangle,triangle,tri,tri
d5c333780dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c333780dba11ecb1e81171463288e9,red,gold,gold,gol,gol
d5c3386e0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c346240dba11ecb1e81171463288e9,white,red,red,red,red
d5c34f200dba11ecb1e81171463288e9,gold,yellow,yellow,yel,yel
d5c34f200dba11ecb1e81171463288e9,gold,orange,orange,ora,ora
d5c34f200dba11ecb1e81171463288e9,gold,red,red,red,red
d5c34f200dba11ecb1e81171463288e9,gold,red,red,red,red
d5c358120dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c363200dba11ecb1e81171463288e9,black,brown,brown,bro,bro
d5c363200dba11ecb1e81171463288e9,black,purple,purple,pur,pur
d5c367260dba11ecb1e81171463288e9,green,golden,gold,gol,gol
d5c367260dba11ecb1e81171463288e9,green,golden,gold,gol,gol
d5c388b40dba11ecb1e81171463288e9,gold,brown,brown,bro,bro
d5c388b40dba11ecb1e81171463288e9,gold,purple,purple,pur,pur
d5c388b40dba11ecb1e81171463288e9,gold,golden,gold,gol,gol
d5c395ca0dba11ecb1e81171463288e9,yellow,orange,orange,ora,ora
d5c3994e0dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c3994e0dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c3994e0dba11ecb1e81171463288e9,green,brown,brown,bro,bro
d5c39cfa0dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c39cfa0dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c39cfa0dba11ecb1e81171463288e9,green,red,red,red,red
d5c39cfa0dba11ecb1e81171463288e9,green,gold,gold,gol,gol
d5c3a3760dba11ecb1e81171463288e9,blue,yellow,yellow,yel,yel
d5c3b50a0dba11ecb1e81171463288e9,pink,orange,orange,ora,ora
d5c3b6680dba11ecb1e81171463288e9,maroon,pink,pink,pin,pin
d5c3b7080dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c3b7080dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c3b73a0dba11ecb1e81171463288e9,white,orange,orange leave,ora,ora
d5c3b73a0dba11ecb1e81171463288e9,white,blue,blue unknown,blu,blu
d5c3c6120dba11ecb1e81171463288e9,silver,gold,gold,gol,gol
d5c3c6760dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c3c7840dba11ecb1e81171463288e9,round,circle,circular,cir,cir
d5c3c7840dba11ecb1e81171463288e9,round,triangle,triangular,tri,tri
d5c3d0ee0dba11ecb1e81171463288e9,grey,white,white,whi,whi
d5c3d0ee0dba11ecb1e81171463288e9,grey,orange,orange,ora,ora
d5c3d7420dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c3dbe80dba11ecb1e81171463288e9,yellow,golden,gold,gol,gol
d5c3dbe80dba11ecb1e81171463288e9,yellow,golden,gold,gol,gol
d5c3dbe80dba11ecb1e81171463288e9,yellow,gold,gold,gol,gol
d5c3e0fc0dba11ecb1e81171463288e9,red,blue,blue,blu,blu
d5c3e9800dba11ecb1e81171463288e9,red,blue,blue,blu,blu
d5c3ee620dba11ecb1e81171463288e9,round,cross,cross,cro,cro
d5c3ee620dba11ecb1e81171463288e9,round,cross,cross,cro,cro
d5c3ee620dba11ecb1e81171463288e9,round,triangle,triangle,tri,tri
d5c3ee8a0dba11ecb1e81171463288e9,red,white,white,whi,whi
d5c3ee8a0dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c3fa060dba11ecb1e81171463288e9,circle,cone,conical,con,con
d5c406cc0dba11ecb1e81171463288e9,red,teal,teal,tea,tea
d5c408f20dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c408f20dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c408f20dba11ecb1e81171463288e9,red,white,white,whi,whi
d5c40a000dba11ecb1e81171463288e9,white,red,red,red,red
d5c40a000dba11ecb1e81171463288e9,white,red,red,red,red
d5c416260dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c416260dba11ecb1e81171463288e9,white,gray,gray,gra,gra
d5c41af40dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c41af40dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c41af40dba11ecb1e81171463288e9,red,teal,teal,tea,tea
d5c41c5c0dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c41d380dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c41d380dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c41d380dba11ecb1e81171463288e9,red,white,white,whi,whi
d5c424ea0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c4283c0dba11ecb1e81171463288e9,circular,circle,circular,cir,cir
d5c43b740dba11ecb1e81171463288e9,red,blue,blue,blu,blu
d5c443c60dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5c443c60dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c443c60dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c455be0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c457a80dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c45adc0dba11ecb1e81171463288e9,round,circle,circle,cir,cir
d5c46fb80dba11ecb1e81171463288e9,green,yellow,yellow,yel,yel
d5c46fb80dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c471b60dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c47cd80dba11ecb1e81171463288e9,green,blue,blue,blu,blu
d5c47cd80dba11ecb1e81171463288e9,green,brown,brown,bro,bro
d5c47f1c0dba11ecb1e81171463288e9,pink,red,red,red,red
d5c47f1c0dba11ecb1e81171463288e9,pink,yellow,yellow,yel,yel
d5c47f1c0dba11ecb1e81171463288e9,pink,yellow,yellow,yel,yel
d5c48f980dba11ecb1e81171463288e9,rectangle,ring,ring,rin,rin
d5c490880dba11ecb1e81171463288e9,white,red,red,red,red
d5c4984e0dba11ecb1e81171463288e9,tan,brown,brown,bro,bro
d5c49a920dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c4a4100dba11ecb1e81171463288e9,white,gray,gray,gra,gra
d5c4b2d40dba11ecb1e81171463288e9,circle,hexagon,hexagon,hex,hex
d5c4b3ba0dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c4b3ba0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c4bbd00dba11ecb1e81171463288e9,square,circle,circular,cir,cir
d5c4bc980dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c4c74c0dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5c4c7c40dba11ecb1e81171463288e9,grey,white,white,whi,whi
d5c4c8820dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c4cfd00dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c4d1ce0dba11ecb1e81171463288e9,white,red,red,red,red
d5c4d1ce0dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c4d1ce0dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c4ee020dba11ecb1e81171463288e9,silver,red,red,red,red
d5c4ee020dba11ecb1e81171463288e9,silver,gold,golden,gol,gol
d5c4ef060dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c4ef060dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5c4ef060dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c4fb720dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c4fb9a0dba11ecb1e81171463288e9,gold,violet,violet,vio,vio
d5c4ff0a0dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c4ff0a0dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c50b4e0dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c50b4e0dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c50b4e0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c50b940dba11ecb1e81171463288e9,yellow,orange,orange,ora,ora
d5c510a80dba11ecb1e81171463288e9,red,golden,gold,gol,gol
d5c517740dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c51a580dba11ecb1e81171463288e9,curve,circle,circular,cir,cir
d5c51e040dba11ecb1e81171463288e9,green,blue,blue,blu,blu
d5c51e040dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5c525c00dba11ecb1e81171463288e9,pink,yellow,yellow,yel,yel
d5c525c00dba11ecb1e81171463288e9,pink,red,red,red,red
d5c526560dba11ecb1e81171463288e9,orange,yellow,yellow,yel,yel
d5c526560dba11ecb1e81171463288e9,orange,purple,purple,pur,pur
d5c528360dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c52c0a0dba11ecb1e81171463288e9,red,golden,gold,gol,gol
d5c52c0a0dba11ecb1e81171463288e9,red,white,white,whi,whi
d5c52fe80dba11ecb1e81171463288e9,rectangular,triangle,triangular,tri,tri
d5c537cc0dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5c53af60dba11ecb1e81171463288e9,yellow,pink,pink,pin,pin
d5c53af60dba11ecb1e81171463288e9,yellow,brown,brown,bro,bro
d5c53af60dba11ecb1e81171463288e9,yellow,red,red,red,red
d5c53af60dba11ecb1e81171463288e9,yellow,purple,purple,pur,pur
d5c547da0dba11ecb1e81171463288e9,orange,yellow,yellowbelly,yel,yel
d5c556f80dba11ecb1e81171463288e9,green,purple,purple,pur,pur
d5c556f80dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c55d060dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c56cba0dba11ecb1e81171463288e9,red,yellow,yellow,yel,yel
d5c56cba0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c56efe0dba11ecb1e81171463288e9,brown,purple,purple,pur,pur
d5c56fc60dba11ecb1e81171463288e9,silver,blue,blue,blu,blu
d5c56fc60dba11ecb1e81171463288e9,silver,red,red,red,red
d5c5716a0dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c572f00dba11ecb1e81171463288e9,silver,pink,pink,pin,pin
d5c57c8c0dba11ecb1e81171463288e9,green,brown,brown,bro,bro
d5c5810a0dba11ecb1e81171463288e9,oval,cone,cone,con,con
d5c5810a0dba11ecb1e81171463288e9,oval,square,square,squ,squ
d5c588800dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c588800dba11ecb1e81171463288e9,green,purple,purple,pur,pur
d5c58a7e0dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c58a7e0dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c58c220dba11ecb1e81171463288e9,white,yellow,yellow,yel,yel
d5c58fec0dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5c58fec0dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c590640dba11ecb1e81171463288e9,green,brown,brown,bro,bro
d5c595e60dba11ecb1e81171463288e9,white,brown,brown,bro,bro
d5c598980dba11ecb1e81171463288e9,black,yellow,yellow,yel,yel
d5c5a1260dba11ecb1e81171463288e9,green,red,red,red,red
d5c5a1260dba11ecb1e81171463288e9,green,orange,orange,ora,ora
d5c5a69e0dba11ecb1e81171463288e9,white,orange,orange,ora,ora
d5c5a69e0dba11ecb1e81171463288e9,white,pink,pink,pin,pin
d5c5b2c40dba11ecb1e81171463288e9,white,blue,blue,blu,blu
d5c5ba8a0dba11ecb1e81171463288e9,red,black,black,bla,bla
d5c5bcf60dba11ecb1e81171463288e9,green,pink,pink,pin,pin
d5c5ca200dba11ecb1e81171463288e9,brown,blue,blue,blu,blu
d5c5ca200dba11ecb1e81171463288e9,brown,yellow,yellow,yel,yel
d5c5ca200dba11ecb1e81171463288e9,brown,orange,orange,ora,ora
d5c5ca200dba11ecb1e81171463288e9,brown,gold,gold,gol,gol
d5c5cf200dba11ecb1e81171463288e9,orange,yellow,yellow,yel,yel
d5c5d22c0dba11ecb1e81171463288e9,gold,yellow,yellow,yel,yel
d5c5d22c0dba11ecb1e81171463288e9,gold,red,red,red,red
d5c5d22c0dba11ecb1e81171463288e9,gold,pink,pink,pin,pin
d5c5d22c0dba11ecb1e81171463288e9,gold,golden,gold,gol,gol
d5c5d3440dba11ecb1e81171463288e9,circular,triangle,triangular,tri,tri
d5c5dbbe0dba11ecb1e81171463288e9,red,black,black,bla,bla
d5c5dbbe0dba11ecb1e81171463288e9,red,brown,brown,bro,bro
d5c5dbbe0dba11ecb1e81171463288e9,red,black,black,bla,bla
d5c5de020dba11ecb1e81171463288e9,yellow,red,red,red,red
d5c5e2080dba11ecb1e81171463288e9,pink,orange,orange,ora,ora
d5c5e2a80dba11ecb1e81171463288e9,red,gray,gray,gra,gra
d5c5e2a80dba11ecb1e81171463288e9,red,violet,violee,vio,vio
d5c5e9ba0dba11ecb1e81171463288e9,point,circle,circular,cir,cir
d5c5f1620dba11ecb1e81171463288e9,yellow,gold,golden,gol,gol
d5c5f8ba0dba11ecb1e81171463288e9,white,red,red,red,red
d5c5fafe0dba11ecb1e81171463288e9,white,black,black,bla,bla
d5c5fe000dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c615700dba11ecb1e81171463288e9,curve,circle,circle,cir,cir
d5c621a00dba11ecb1e81171463288e9,red,orange,orange,ora,ora
d5c621a00dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c62db20dba11ecb1e81171463288e9,orange,violet,violet,vio,vio
d5c62db20dba11ecb1e81171463288e9,orange,blue,blue,blu,blu
d5c62ea20dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c62ea20dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c6323a0dba11ecb1e81171463288e9,globe,cone,cone,con,con
d5c63eb00dba11ecb1e81171463288e9,red,purple,purple,pur,pur
d5c63eb00dba11ecb1e81171463288e9,red,black,black,bla,bla
d5c6420c0dba11ecb1e81171463288e9,gold,orange,orange,ora,ora
d5c6482e0dba11ecb1e81171463288e9,white,purple,purple,pur,pur
d5c64ec80dba11ecb1e81171463288e9,red,gold,golden,gol,gol
d5c64ec80dba11ecb1e81171463288e9,red,pink,pink,pin,pin
d5c65e400dba11ecb1e81171463288e9,hoop,hexagon,hexagon,hex,hex
d5c661ba0dba11ecb1e81171463288e9,yellow,blue,blue,blu,blu
d5c661ba0dba11ecb1e81171463288e9,yellow,pink,pink,pin,pin
